Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.097200006,1426283914,369207833085,0.019199999
2025-12-31,Blackrock Inc.,0.078600004,1154665731,298896754212,0.0073
2025-12-31,State Street Corporation,0.041100003,604056505,156366058035,0.011
2025-12-31,"Geode Capital Management, LLC",0.024400001,358032517,92680292106,0.0052
2025-12-31,"FMR, LLC",0.0209,307397264,79572851256,0.0137
2025-12-31,Morgan Stanley,0.015700001,230483035,59662835063,0.006
2025-12-31,"Berkshire Hathaway, Inc",0.0155,227917808,58998800440,-0.0432
2025-12-31,JPMORGAN CHASE & CO,0.0154,225419111,58351987771,-0.5237
2025-12-31,Price (T.Rowe) Associates Inc,0.0139,203499482,52677872929,-0.0435
2025-12-31,NORGES BANK,0.013099999,192255086,49767148745,0.0128999995
