Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0788,845400528,179892772677,-0.0058
2025-12-31,Blackrock Inc.,0.0684,734375864,156267835170,0.0167
2025-12-31,State Street Corporation,0.036199998,388653121,82701495008,0.0183
2025-12-31,"FMR, LLC",0.0309,331470804,70533670157,0.007900001
2025-12-31,"Geode Capital Management, LLC",0.021,225120994,47903494801,0.0111
2025-12-31,Morgan Stanley,0.0150999995,161580340,34382679463,-0.007900001
2025-12-31,JPMORGAN CHASE & CO,0.0149,160046290,34056248974,-0.56189996
2025-12-31,NORGES BANK,0.013300001,142399855,30301264189,0.13859999
2025-12-31,Price (T.Rowe) Associates Inc,0.012200001,130958176,27866589391,-0.0842
2025-12-31,Northern Trust Corporation,0.0088,94745484,20160890904,-0.0238
