Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0911,651076825,32592906753,0.0372
2025-12-31,Blackrock Inc.,0.0759,542476024,27156350506,0.0134000005
2025-12-31,"Berkshire Hathaway, Inc",0.072399996,517295934,25895835166,-0.08939999
2025-12-31,State Street Corporation,0.0418,298499829,14942901849,-0.0093
2025-12-31,"FMR, LLC",0.0301,214781463,10751960332,0.0253
2025-12-31,JPMORGAN CHASE & CO,0.0226,161572280,8088308558,-0.5553
2025-12-31,"Geode Capital Management, LLC",0.0216,154483485,7733443471,-0.0016
2025-12-31,Capital World Investors,0.0198,141301411,7073548828,-0.021300001
2025-12-31,Morgan Stanley,0.015800001,112791313,5646333283,0.0994
2025-12-31,Price (T.Rowe) Associates Inc,0.0149,106566355,5334711877,-0.109
