Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0917,182961533,36383730564,-0.0045
2025-12-31,State Street Corporation,0.0763,152281267,30282652848,-0.0021
2025-12-31,Blackrock Inc.,0.0708,141290397,28097008433,0.015800001
2025-12-31,"Berkshire Hathaway, Inc",0.0652,130156362,25882894226,0.066300005
2025-12-31,"Geode Capital Management, LLC",0.0219,43613011,8672883394,0.0031
2025-12-31,Morgan Stanley,0.0182,36305638,7219739194,-0.0082
2025-12-31,"Charles Schwab Investment Management, Inc.",0.018099999,36036844,7166286819,0.0274
2025-12-31,Bank of America Corporation,0.013200001,26295251,5229073629,-0.0624
2025-12-31,NORGES BANK,0.0123000005,24457623,4863642924,0.2868
2025-12-31,"Fisher Asset Management, LLC",0.0108,21471919,4269905825,0.0150999995
