Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0774,421013782,125318963891,0.0197
2025-12-31,Blackrock Inc.,0.0664,361248457,107529217033,0.0076
2025-12-31,State Street Corporation,0.0344,187102863,55693038885,0.0050999997
2025-12-31,"FMR, LLC",0.02,108887778,32411536398,-0.011
2025-12-31,"Geode Capital Management, LLC",0.0199,108118036,32182414991,-0.0011
2025-12-31,JPMORGAN CHASE & CO,0.0185,100602893,29945457498,-0.4946
2025-12-31,Capital International Investors,0.0155,84244686,25076273543,-0.0233
2025-12-31,Morgan Stanley,0.013200001,71841419,21384317042,0.016
2025-12-31,Price (T.Rowe) Associates Inc,0.0128999995,70305711,20927198193,-0.0233
2025-12-31,NORGES BANK,0.0106,57659864,17163035329,1.3794999
