Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.090900004,528969322,158685501741,0.024300002
2025-12-31,Blackrock Inc.,0.0759,441987843,132591928705,0.031600002
2025-12-31,"FMR, LLC",0.0398,231778122,69531116555,0.007900001
2025-12-31,State Street Corporation,0.0392,228296955,68486801300,0.0087
2025-12-31,"Geode Capital Management, LLC",0.0251,146193037,43856447741,0.0186
2025-12-31,Morgan Stanley,0.0209,121794366,36537090666,-0.0011999999
2025-12-31,NORGES BANK,0.0168,97553478,29265066912,-0.2166
2025-12-31,Price (T.Rowe) Associates Inc,0.014400001,83963036,25188070349,-0.0174
2025-12-31,Bank of America Corporation,0.0119,69108183,20731763143,0.0023
2025-12-31,Northern Trust Corporation,0.0112,65140881,19541612255,-0.020499999
