Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.098400004,29014431,25127947613,0.0146
2025-12-31,Blackrock Inc.,0.0788,23251559,20137012388,0.0068
2025-12-31,State Street Corporation,0.066300005,19564783,16944080078,0.020599999
2025-12-31,JPMORGAN CHASE & CO,0.026700001,7874962,6820110743,-0.4374
2025-12-31,Morgan Stanley,0.0253,7462643,6463021879,-0.0298
2025-12-31,"Fisher Asset Management, LLC",0.023,6771556,5864505991,0.0165
2025-12-31,"Geode Capital Management, LLC",0.0228,6726721,5825676639,0.0068
2025-12-31,Bank of America Corporation,0.020299999,5978034,5177276272,0.025799999
2025-12-31,"FMR, LLC",0.0137,4050198,3507673928,0.1344
2025-12-31,Capital World Investors,0.0127,3737815,3237134635,-0.1014
