Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0998,240349660,57917057863,0.015800001
2025-12-31,Blackrock Inc.,0.0867,208781159,50309996139,0.0073
2025-12-31,State Street Corporation,0.0556,133869843,32258616231,0.0126
2025-12-31,JPMORGAN CHASE & CO,0.024300002,58558238,14110778682,-0.5007
2025-12-31,"Geode Capital Management, LLC",0.0241,57953747,13965114485,0.0309
2025-12-31,Morgan Stanley,0.019199999,46325589,11163077237,-0.0395
2025-12-31,NORGES BANK,0.0139,33459884,8062828288,0.0479
2025-12-31,State Farm Mutual Automobile Insurance Co,0.013099999,31590952,7612471742,0.0
2025-12-31,Northern Trust Corporation,0.012200001,29281433,7055946945,-0.0231
2025-12-31,Bank of America Corporation,0.0117999995,28333601,6827547867,-0.003
