Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.098500006,265758185,78518259002,-0.0005
2025-12-31,Blackrock Inc.,0.0785,211596732,62516257052,0.0115
2025-12-31,State Street Corporation,0.0465,125342135,37032335315,0.0011999999
2025-12-31,Morgan Stanley,0.024600001,66385268,19613528240,0.014400001
2025-12-31,"Geode Capital Management, LLC",0.0227,61268688,18101834617,-0.0002
2025-12-31,Bank of America Corporation,0.021,56719109,16757661446,-0.0179
2025-12-31,"FMR, LLC",0.013200001,35700719,10547777864,-0.0784
2025-12-31,NORGES BANK,0.013099999,35368681,10449677233,-0.004
2025-12-31,Northern Trust Corporation,0.0117,31672762,9357717919,-0.0212
2025-12-31,Price (T.Rowe) Associates Inc,0.0104,27942349,8255567353,-0.037100002
