Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.5841,199995630,114601499808,0.0377
2025-12-31,Blackrock Inc.,0.50090003,171505090,98275850021,0.0239
2025-12-31,"FMR, LLC",0.35729998,122341612,70104192897,-0.0589
2025-12-31,State Street Corporation,0.2653,90841345,52053909286,0.0509
2025-12-31,"Geode Capital Management, LLC",0.1542,52806712,30259303141,0.016900001
2025-12-31,JPMORGAN CHASE & CO,0.12810001,43855509,25130084623,-0.5992
2025-12-31,Capital World Investors,0.1155,39558637,22667890946,0.007900001
2025-12-31,Morgan Stanley,0.1097,37553102,21518679241,0.0224
2025-12-31,Price (T.Rowe) Associates Inc,0.1026,35112531,20120183199,-0.0924
2025-12-31,NORGES BANK,0.098000005,33559173,19230077967,0.069699995
