Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0967,717942580,267706432735,0.0227
2025-12-31,Blackrock Inc.,0.081099994,601897495,224435540874,0.017
2025-12-31,State Street Corporation,0.041199997,306150608,114157440205,0.021300001
2025-12-31,"FMR, LLC",0.0271,200948745,74929769016,-0.045300003
2025-12-31,"Geode Capital Management, LLC",0.024600001,182618400,68094749883,0.0106
2025-12-31,JPMORGAN CHASE & CO,0.0199,147759850,55096693589,-0.5348
2025-12-31,Price (T.Rowe) Associates Inc,0.016900001,125709121,46874417652,-0.048899997
2025-12-31,Morgan Stanley,0.0163,121220561,45200723377,0.0082
2025-12-31,NORGES BANK,0.014099999,104761241,39063372055,0.032
2025-12-31,Capital International Investors,0.011,81585381,30421557265,0.0276
