Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0924,390014981,38584182189,0.0125
2025-12-31,Blackrock Inc.,0.0825,348145717,34442055889,0.0021
2025-12-31,"FMR, LLC",0.0464,195829757,19373437919,-0.0721
2025-12-31,State Street Corporation,0.0419,176780995,17488943889,0.0276
2025-12-31,"Geode Capital Management, LLC",0.023599999,99598678,9853297244,-0.008
2025-12-31,Capital World Investors,0.0212,89341444,8838549082,-0.040900003
2025-12-31,Price (T.Rowe) Associates Inc,0.020399999,86058878,8513804826,-0.2142
2025-12-31,Morgan Stanley,0.0202,85349973,8443672854,0.003
2025-12-31,JPMORGAN CHASE & CO,0.015,63535182,6285535574,-0.6441
2025-12-31,NORGES BANK,0.0147,61894705,6123243184,0.045300003
