Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0933,2266683275,402653615587,0.0194
2025-12-31,Blackrock Inc.,0.08,1943812884,345298919527,0.0075
2025-12-31,State Street Corporation,0.040799998,991480489,176126593460,0.0117
2025-12-31,"FMR, LLC",0.04,971063283,172499680999,-0.0117999995
2025-12-31,"Geode Capital Management, LLC",0.0242,588803093,104594981081,0.0058
2025-12-31,JPMORGAN CHASE & CO,0.0188,456141138,81028911475,-0.5332
2025-12-31,Price (T.Rowe) Associates Inc,0.0154,373187926,66293102946,-0.056999996
2025-12-31,NORGES BANK,0.0137,333748700,59287118864,0.026099999
2025-12-31,Morgan Stanley,0.013300001,323733984,57508104720,0.0023999999
2025-12-31,Northern Trust Corporation,0.0104,253789803,45083220450,-0.0218
