Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.0952,541346182,15065664203,0.013200001
2025-12-31,Blackrock Inc.,0.0867,493062528,13721930116,-0.0088
2025-12-31,State Street Corporation,0.052800003,300445164,8361388891,0.0045
2025-12-31,"Geode Capital Management, LLC",0.0229,130192081,3623245604,0.0092
2025-12-31,Morgan Stanley,0.015700001,89113604,2480031592,0.1918
2025-12-31,NORGES BANK,0.0128999995,73533577,2046439442,-0.2148
2025-12-31,Northern Trust Corporation,0.0111,63250589,1760263887,-0.012
2025-12-31,Massachusetts Financial Services Co.,0.0098,55873002,1554945641,-0.0298
2025-12-31,State Farm Mutual Automobile Insurance Co,0.0095999995,54508560,1516973220,0.0
2025-12-31,"Wellington Management Group, LLP",0.0092,52094310,1449784643,-0.1384
