Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.069,258925024,91353928864,0.025899999
2025-12-31,Blackrock Inc.,0.0558,209563808,73938304273,0.0137
2025-12-31,State Street Corporation,0.0306,114842934,40518884815,0.0095
2025-12-31,"Geode Capital Management, LLC",0.0175,65700975,23180618480,0.0058
2025-12-31,JPMORGAN CHASE & CO,0.0119,44591616,15732814283,-0.50049996
2025-12-31,Capital World Investors,0.0113,42484452,14989364665,-0.0352
2025-12-31,"FMR, LLC",0.0105,39484462,13930908172,0.094
2025-12-31,NORGES BANK,0.0101,38086143,13437553252,0.0218
2025-12-31,Morgan Stanley,0.0095,35783015,12624963614,-0.0101
2025-12-31,Goldman Sachs Group Inc,0.0073,27419658,9674203936,-0.0825
