Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.1009,91600260,25772647811,0.011
2025-12-31,Blackrock Inc.,0.08229999,74743552,21029844695,0.0061000003
2025-12-31,State Street Corporation,0.0498,45232170,12726522688,0.0254
2025-12-31,Capital World Investors,0.0249,22591042,6356215246,0.0379
2025-12-31,"Geode Capital Management, LLC",0.024,21791590,6131281443,0.00029999999
2025-12-31,Price (T.Rowe) Associates Inc,0.0207,18829054,5297742357,0.0375
2025-12-31,Capital International Investors,0.020599999,18655111,5248801757,0.066
2025-12-31,JPMORGAN CHASE & CO,0.0189,17199093,4839136554,-0.53650004
2025-12-31,Morgan Stanley,0.0174,15790095,4442700897,0.0363
2025-12-31,"Wellington Management Group, LLP",0.0173,15688774,4414193222,-0.050100002
