Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.096099995,296419877,24261966480,-0.0070999996
2025-12-31,Blackrock Inc.,0.085,262383174,21476062391,0.0286
2025-12-31,"FMR, LLC",0.0602,185705183,15199968945,-0.0392
2025-12-31,State Street Corporation,0.0444,137088237,11220671989,-0.0107
2025-12-31,JPMORGAN CHASE & CO,0.0424,130851080,10710160698,-0.5494
2025-12-31,"Geode Capital Management, LLC",0.0235,72382568,5924513080,-0.0166
2025-12-31,"Wellington Management Group, LLP",0.0235,72409976,5926756425,-0.121400006
2025-12-31,Morgan Stanley,0.0174,53574153,4385044341,-0.029000001
2025-12-31,Bank of America Corporation,0.0166,51281147,4197361803,0.0069
2025-12-31,NORGES BANK,0.015700001,48418055,3963017727,-0.0279
