Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-12-31,Vanguard Group Inc,0.1031,429761518,70210137097,0.0007
2025-12-31,Blackrock Inc.,0.0747,311222419,50844405072,0.0045
2025-12-31,State Street Corporation,0.049200002,205114242,33509512714,-0.0077
2025-12-31,"FMR, LLC",0.031600002,131721707,21519374629,0.0343
2025-12-31,"Geode Capital Management, LLC",0.023,95923254,15670981537,-0.0023999999
2025-12-31,Bank of America Corporation,0.018,75152366,12277641666,0.0113
2025-12-31,Morgan Stanley,0.0179,74457855,12164179407,-0.0061000003
2025-12-31,JPMORGAN CHASE & CO,0.016900001,70376165,11497353732,-0.53110003
2025-12-31,NORGES BANK,0.0152,63362667,10351558598,0.1082
2025-12-31,Bank Of New York Mellon Corporation,0.0112,46605353,7613916292,0.0115
